Song Title,Streams,Daily
* Something Just Like This,2360429097,1024226.0
Yellow,1994170156,1619221.0
Viva La Vida,1817301965,1397710.0
The Scientist,1730247039,809670.0
Fix You,1331066416,726609.0
A Sky Full of Stars,1306202500,927520.0
Hymn for the Weekend,1269746647,634085.0
My Universe,1165484041,599792.0
Paradise,1162178312,653060.0
Adventure of a Lifetime,923446921,532144.0
Clocks,793528827,576293.0
Sparks,771267093,1062281.0
Magic,669899679,157968.0
Trouble,329969893,160220.0
Higher Power,320956467,153495.0
In My Place,300647715,193981.0
Christmas Lights,296139143,1070425.0
Every Teardrop Is a Waterfall,284987603,117416.0
Everglow,279301002,82641.0
Princess of China,259481112,96931.0
Speed of Sound,254102226,141039.0
Up&Up,247497388,75158.0
Let Somebody Go,224783008,125223.0
Charlie Brown,219828557,97169.0
Orphans,216268646,71920.0
A Head Full of Dreams,192209743,62529.0
Don't Panic,178425493,147933.0
Violet Hill,161619107,85940.0
Shiver,157809301,66808.0
Midnight,139683327,38715.0
Always in My Head,128805362,46065.0
Birds,126764065,32125.0
Everglow - Edit,126345122,37404.0
Everyday Life,123191820,39013.0
Green Eyes,123048480,57751.0
Talk,109204395,44496.0
O,108091979,31907.0
Ink,106684964,29770.0
God Put a Smile upon Your Face,104955364,43580.0
Fun (feat. Tove Lo),104025361,14679.0
Miracles (Someone Special),101231099,23207.0
A Message,90115784,32479.0
The Hardest Part,88085689,39845.0
True Love,87001304,22088.0
Warning Sign,86266340,27515.0
Strawberry Swing,85293267,26608.0
High Speed,85084217,31719.0
Amazing Day,84747755,20732.0
Politik,83742169,36435.0
Viva La Vida - Live from Spotify London,80533635,35771.0
Army of One,78429829,12473.0
We Never Change,74187756,33014.0
Lost!,72665402,17541.0
Hurts Like Heaven,71233904,13306.0
Til Kingdom Come,69485877,36600.0
See You Soon,69009010,30757.0
Us Against the World,65483719,19691.0
Life in Technicolor ii,65417683,18524.0
Princess of China - Acoustic,62897088,5471.0
Champion Of The World,62463888,24983.0
All I Can Think About Is You,61947218,14692.0
Viva La Vida - Live in Buenos Aires,61764178,26093.0
Lovers in Japan,61081541,11763.0
Biutyful,60903576,55727.0
Coloratura,58090219,38561.0
* Something Just Like This - Alesso Remix,57736480,14430.0
Parachutes,57499154,24343.0
Arabesque,56733300,17387.0
Everglow - Live from Spotify London,55995469,18624.0
Daddy,55412792,26276.0
Yellow - Live from Spotify London,55367982,16011.0
Spies,54912167,22626.0
Fix You - Live in Buenos Aires,54900476,21308.0
Life in Technicolor,54609417,9521.0
"A Sky Full of Stars - Live at the Royal Albert Hall, London",54309062,12440.0
Adventure of a Lifetime - Live from Spotify London,54043824,19116.0
A Rush of Blood to the Head,53928208,17463.0
Atlas - From âThe Hunger Games: Catching Fireâ Soundtrack,52429796,13920.0
Kaleidoscope,51419400,5919.0
Another's Arms,50960999,8751.0
A Whisper,50347494,14461.0
What If,47583694,13073.0
Flags,46980560,21764.0
Princess of China - Radio Edit,46482354,6242.0
Hypnotised - EP Mix,45692984,12571.0
Everything's Not Lost - Includes Hidden Track 'Life Is For Living',45090624,17621.0
X&Y,44999506,11038.0
Amsterdam,44883256,13972.0
Colour Spectrum,44231735,5755.0
Death and All His Friends,43529180,9954.0
Oceans,43420597,7824.0
Humankind,42362753,26611.0
Swallowed in the Sea,41858051,11205.0
A L I E N S,41842951,2538.0
